imdbID,original title,genres,countries,country codes,box office,certificates,rating,votes,plot outline,year,kind,full-size cover url
0000027,Place des Cordeliers à Lyon,"Documentary,Short",France,fr,N/A,N/A,5.6,1144,"A stationary camera looks across the boulevard at a diagonal toward one corner of Lyon's Cordeliers' Square. It's a long shot, with a great deal of depth of focus. We can see the sky and fronts of four buildings, each four or five stories tall. It's a busy thoroughfare, with pedestrians walking in front of the buildings and crossing the boulevard between horse-drawn vehicles. A double-decker bus passes in front of us, pulled by two horses. Various tradesmen pass on wagons. One van passes.",1895,movie,https://m.media-amazon.com/images/M/MV5BYzc4ZTA4NmItMDdkZS00NWZjLWFjYjQtZjMzYjk5YjVhMTdkXkEyXkFqcGdeQXVyODgzNDIwODA@.jpg
0000035,L'arroseur,"Short,Comedy",France,fr,N/A,N/A,5.6,82,N/A,1896,movie,https://m.media-amazon.com/images/M/MV5BYWY1Mjc5YjktZWM3NC00NzM4LWI4MjctZGVjYjUyYjA0ZTU4XkEyXkFqcGdeQXVyNTI2NTY2MDI@.jpg
0000031,Le saut à la couverture,"Documentary,Short",France,fr,N/A,N/A,5.5,999,"Outdoors, with a nondescript building in the background, four men stand, each holding the corner of a blanket stretched parallel to the ground. They wear the clothes of laborers. By the back corner on our left stands a uniformed man who seems in charge. A sixth man stands back from the blanket about six paces; he runs forward and takes a leap but stops at the edge of the blanket and is upbraided by the uniformed gent. The same thing happens a second time, but the next three times, he completes a flip, landing on his back in the middle of the blanket, and the four then boost him out toward the camera. The final time seems like it will be his last for awhile.",1895,movie,https://m.media-amazon.com/images/M/MV5BNmY3YTM2MTQtNWY5MC00MzQxLWJiMDctNWYzYTI5N2Y1OGEzXkEyXkFqcGdeQXVyODgzNDIwODA@.jpg
0000037,Baignade en mer,Short,France,fr,N/A,N/A,4.3,68,"The film was shown tenth and completed the famous first paid Lumière cinema show of the ten films in Paris in the basement ""Grand Cafe"" on the Boulevard des Capucines 28 December 1895. Several little boys run along a pier, then jump into the ocean. Also known as ""A Dip in the Sea"".",1896,movie,https://m.media-amazon.com/images/M/MV5BMzY5MDE4ZGUtMzE2Mi00YWMxLTk3YTctNzY4MTdmNDc5ZWFhXkEyXkFqcGdeQXVyNTI2NTY2MDI@.jpg
0000038,The Ball Game,"Documentary,Short,Sport",United States,us,N/A,N/A,4.2,199,"""The Reading's [Pennsylvania] pitcher has just let a Newark [New Jersey] batsman walk to first. Our camera is stationed about twenty feet from the bag, and the satisfied grin of the runner is great as he touches first and gets up on his toes for second. Next man cracks first ball pitched for a two-bagger, and races for the base with a wonderful burst of speed. First baseman just misses a put out. Very exciting. Man on the coaching line yells, and umpire runs up and makes decision. Small boy runs past back of the catcher close to the grand stand, where there is great commotion. A most excellent subject, treated brilliantly.""",1898,movie,https://m.media-amazon.com/images/M/MV5BMTU1Y2QxMWMtOGE2Ny00MWE5LWI2YTctOWU2MTQxNThhMzUzXkEyXkFqcGdeQXVyNzg5OTk2OA@@.jpg
0000039,Barnet Horse Fair,Short,United Kingdom,gb,N/A,N/A,3.3,32,N/A,1896,movie,N/A
0000042,Bateau-mouche sur la Seine,"Documentary,Short",France,fr,N/A,N/A,3.9,39,N/A,1896,movie,https://m.media-amazon.com/images/M/MV5BYjgwMjI3YzktNGZlNC00NmFlLWE0MzUtOGFjN2I3MmNiMjUzXkEyXkFqcGdeQXVyNTI2NTY2MDI@.jpg
0000040,Barque sortant du port de Trouville,"Documentary,Short",France,fr,N/A,N/A,4.0,66,N/A,1896,movie,https://m.media-amazon.com/images/M/MV5BZTA1MTFhMTYtMmE3Mi00ZjQzLTkxOGQtNTEzZTk4NDZkOTIzXkEyXkFqcGdeQXVyNTI2NTY2MDI@.jpg
0000043,Batteuse à vapeur,"Documentary,Short",France,fr,N/A,N/A,3.2,34,N/A,1896,movie,https://m.media-amazon.com/images/M/MV5BNmY5MmI4MzEtOWUwNS00MzI0LWI2MzAtYjY2YTc3ZGRkNWMwXkEyXkFqcGdeQXVyNTI2NTY2MDI@.jpg
0000044,Le bivouac,Short,France,fr,N/A,N/A,3.9,47,N/A,1896,movie,https://m.media-amazon.com/images/M/MV5BZjViODAyMjktNTRkOC00NDk1LTllZWUtOWM4ZjY3ZDBhODNkXkEyXkFqcGdeQXVyNTI2NTY2MDI@.jpg
